url	source_name	name	form	rig
https://squig.link/data/Twistura%20Beta%20gold%20L.txt	Twistura Beta (nozzle: gold / steel)	TWISTURA Beta (nozzle gold steel)	in-ear	711
https://squig.link/data/Twistura%20Beta%20gold%20R.txt	Twistura Beta (nozzle: gold / steel)	TWISTURA Beta (nozzle gold steel)	in-ear	711
https://squig.link/data/Twistura%20Beta%20silver%20L.txt	Twistura Beta (nozzle: silver)	TWISTURA Beta (nozzle silver)	in-ear	711
https://squig.link/data/Twistura%20Beta%20silver%20R.txt	Twistura Beta (nozzle: silver)	TWISTURA Beta (nozzle silver)	in-ear	711
https://superreview.squig.link/data/Twistura%20Woodnote%20vocal%20L.txt	Twistura Woodnote (nozzle: vocal / gold)	TWISTURA Woodnote (gold nozzle)	in-ear	711
https://superreview.squig.link/data/Twistura%20Woodnote%20vocal%20R.txt	Twistura Woodnote (nozzle: vocal / gold)	TWISTURA Woodnote (gold nozzle)	in-ear	711
https://superreview.squig.link/data/Twistura%20Woodnote%20atmosphere%20L.txt	Twistura Woodnote (nozzle: atmosphere / silver)	TWISTURA Woodnote (silver nozzle)	in-ear	711
https://superreview.squig.link/data/Twistura%20Woodnote%20atmosphere%20R.txt	Twistura Woodnote (nozzle: atmosphere / silver)	TWISTURA Woodnote (silver nozzle)	in-ear	711
https://superreview.squig.link/data/Twistura%20Woodnote%20standard%20L.txt	Twistura Woodnote (nozzle: standard / steel)	TWISTURA Woodnote (steel nozzle)	in-ear	711
https://superreview.squig.link/data/Twistura%20Woodnote%20standard%20R.txt	Twistura Woodnote (nozzle: standard / steel)	TWISTURA Woodnote (steel nozzle)	in-ear	711
https://superreview.squig.link/data/Tanchjim%204U%20a%20L.txt	Tanchjim 4U (atmosphere)	Tanchjim 4U (atmophere)	in-ear	711
https://superreview.squig.link/data/Tanchjim%204U%20a%20R.txt	Tanchjim 4U (atmosphere)	Tanchjim 4U (atmophere)	in-ear	711
https://superreview.squig.link/data/Tanchjim%204U%20m%20L.txt	Tanchjim 4U (monitoring)	Tanchjim 4U (monitoring)	in-ear	711
https://superreview.squig.link/data/Tanchjim%204U%20m%20R.txt	Tanchjim 4U (monitoring)	Tanchjim 4U (monitoring)	in-ear	711
https://superreview.squig.link/data/Tanchjim%204U%20n%20L.txt	Tanchjim 4U (natural)	Tanchjim 4U (natural)	in-ear	711
https://superreview.squig.link/data/Tanchjim%204U%20n%20R.txt	Tanchjim 4U (natural)	Tanchjim 4U (natural)	in-ear	711
https://superreview.squig.link/data/Tanchjim%204U%20p%20L.txt	Tanchjim 4U (pop)	Tanchjim 4U (pop)	in-ear	711
https://superreview.squig.link/data/Tanchjim%204U%20p%20R.txt	Tanchjim 4U (pop)	Tanchjim 4U (pop)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Bunny%20USB%20L.txt	Tanchjim Bunny (cable: USB)	Tanchjim Bunny (USB)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Bunny%20USB%20R.txt	Tanchjim Bunny (cable: USB)	Tanchjim Bunny (USB)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Bunny%20analog%20L.txt	Tanchjim Bunny (cable: analog)	Tanchjim Bunny (analog)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Bunny%20analog%20R.txt	Tanchjim Bunny (cable: analog)	Tanchjim Bunny (analog)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Darling%20(depth%201)%20L.txt	Tanchjim Darling (depth 1)	Tanchjim Darling	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Darling%20(depth%202)%20L.txt	Tanchjim Darling (depth 2)	Tanchjim Darling	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Darling%20L.txt	Tanchjim Darling	Tanchjim Darling	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Darling%20R.txt	Tanchjim Darling	Tanchjim Darling	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Echo%20L.txt	Tanchjim Echo	Tanchjim Echo	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Echo%20R.txt	Tanchjim Echo	Tanchjim Echo	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Fission%20gold%20L.txt	Tanchjim Fission (nozzle: gold :: switch: atmosphere)	Tanchjim Fission (gold nozzle, atmosphere switch)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Fission%20gold%20R.txt	Tanchjim Fission (nozzle: gold :: switch: atmosphere)	Tanchjim Fission (gold nozzle, atmosphere switch)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Fission%20nickel%20L.txt	Tanchjim Fission (nozzle: nickel :: switch: atmosphere)	Tanchjim Fission (nickel nozzle, atmosphere switch)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Fission%20nickel%20R.txt	Tanchjim Fission (nozzle: nickel :: switch: atmosphere)	Tanchjim Fission (nickel nozzle, atmosphere switch)	in-ear	711
