frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.06,13.06,5.45,5.45,-5.47,-5.16,-2.49,7.58,7.58,7.61
20.20,13.06,13.05,5.45,5.45,-5.45,-5.16,-2.56,7.60,7.60,7.60
20.40,13.05,13.05,5.44,5.44,-5.44,-5.16,-2.64,7.61,7.61,7.60
20.61,13.04,13.04,5.43,5.43,-5.42,-5.16,-2.71,7.62,7.62,7.60
20.81,13.03,13.02,5.42,5.42,-5.41,-5.16,-2.79,7.62,7.62,7.60
21.02,13.01,13.01,5.40,5.41,-5.39,-5.16,-2.87,7.62,7.62,7.60
21.23,12.99,12.99,5.38,5.38,-5.38,-5.16,-2.95,7.61,7.61,7.60
21.44,12.97,12.96,5.37,5.36,-5.36,-5.16,-3.04,7.60,7.60,7.60
21.66,12.94,12.94,5.34,5.34,-5.34,-5.15,-3.12,7.59,7.60,7.60
21.87,12.93,12.92,5.33,5.32,-5.33,-5.15,-3.22,7.60,7.59,7.60
22.09,12.91,12.91,5.31,5.31,-5.31,-5.15,-3.31,7.59,7.59,7.60
22.31,12.90,12.90,5.30,5.30,-5.30,-5.15,-3.40,7.59,7.59,7.60
22.54,12.90,12.89,5.30,5.30,-5.30,-5.15,-3.50,7.59,7.59,7.60
22.76,12.90,12.90,5.30,5.30,-5.30,-5.15,-3.60,7.59,7.59,7.60
22.99,12.90,12.90,5.30,5.31,-5.31,-5.15,-3.70,7.59,7.59,7.59
23.22,12.92,12.91,5.32,5.32,-5.32,-5.14,-3.81,7.59,7.59,7.59
23.45,12.93,12.93,5.33,5.34,-5.34,-5.14,-3.91,7.59,7.59,7.59
23.69,12.95,12.95,5.35,5.36,-5.36,-5.14,-4.02,7.59,7.59,7.59
23.92,12.97,12.97,5.38,5.38,-5.37,-5.14,-4.13,7.59,7.59,7.59
24.16,12.99,12.98,5.40,5.39,-5.39,-5.14,-4.25,7.60,7.59,7.59
24.40,13.00,13.00,5.41,5.41,-5.41,-5.14,-4.36,7.59,7.59,7.59
24.65,13.01,13.01,5.42,5.42,-5.42,-5.13,-4.48,7.59,7.59,7.59
24.89,13.02,13.01,5.43,5.43,-5.43,-5.13,-4.60,7.59,7.59,7.58
25.14,13.02,13.02,5.43,5.43,-5.43,-5.13,-4.72,7.59,7.59,7.58
25.39,13.02,13.01,5.43,5.43,-5.43,-5.13,-4.84,7.59,7.58,7.58
25.65,13.01,13.01,5.43,5.43,-5.43,-5.13,-4.96,7.58,7.58,7.58
25.91,13.00,13.00,5.42,5.42,-5.42,-5.12,-5.08,7.57,7.58,7.58
26.16,13.00,12.99,5.42,5.42,-5.42,-5.12,-5.20,7.58,7.58,7.58
26.43,12.99,12.99,5.41,5.41,-5.41,-5.12,-5.33,7.58,7.58,7.58
26.69,12.98,12.98,5.40,5.40,-5.40,-5.12,-5.45,7.57,7.57,7.57
26.96,12.97,12.97,5.39,5.39,-5.40,-5.12,-5.56,7.57,7.57,7.57
27.23,12.96,12.96,5.39,5.39,-5.39,-5.11,-5.68,7.57,7.57,7.57
27.50,12.96,12.95,5.39,5.38,-5.39,-5.11,-5.79,7.57,7.56,7.57
27.77,12.95,12.95,5.38,5.38,-5.38,-5.11,-5.90,7.56,7.56,7.57
28.05,12.95,12.95,5.38,5.38,-5.38,-5.11,-6.01,7.56,7.56,7.56
28.33,12.95,12.94,5.38,5.38,-5.38,-5.10,-6.11,7.56,7.56,7.56
28.62,12.95,12.94,5.39,5.38,-5.38,-5.10,-6.21,7.57,7.56,7.56
28.90,12.94,12.94,5.38,5.38,-5.38,-5.10,-6.29,7.56,7.56,7.56
29.19,12.94,12.93,5.38,5.38,-5.37,-5.09,-6.38,7.56,7.56,7.56
29.48,12.93,12.93,5.37,5.37,-5.37,-5.09,-6.45,7.56,7.56,7.55
29.78,12.92,12.92,5.36,5.37,-5.36,-5.09,-6.52,7.55,7.55,7.55
30.08,12.91,12.90,5.36,5.35,-5.36,-5.09,-6.57,7.55,7.55,7.55
30.38,12.89,12.89,5.34,5.34,-5.35,-5.08,-6.62,7.54,7.54,7.55
30.68,12.88,12.88,5.33,5.33,-5.34,-5.08,-6.66,7.54,7.54,7.54
30.99,12.87,12.87,5.33,5.33,-5.33,-5.07,-6.69,7.54,7.54,7.54
31.30,12.86,12.86,5.32,5.32,-5.32,-5.07,-6.71,7.54,7.54,7.54
31.61,12.85,12.85,5.31,5.31,-5.31,-5.07,-6.72,7.54,7.54,7.53
31.93,12.84,12.83,5.31,5.30,-5.30,-5.06,-6.71,7.53,7.53,7.53
32.24,12.82,12.82,5.29,5.29,-5.29,-5.06,-6.70,7.52,7.53,7.53
32.57,12.81,12.81,5.28,5.28,-5.29,-5.05,-6.68,7.52,7.52,7.52
32.89,12.80,12.80,5.28,5.28,-5.28,-5.05,-6.65,7.52,7.52,7.52
33.22,12.79,12.79,5.27,5.27,-5.27,-5.05,-6.61,7.52,7.52,7.52
33.55,12.78,12.77,5.26,5.26,-5.26,-5.04,-6.57,7.52,7.51,7.51
33.89,12.76,12.76,5.25,5.25,-5.25,-5.04,-6.51,7.51,7.51,7.51
34.23,12.75,12.74,5.24,5.24,-5.24,-5.03,-6.45,7.51,7.50,7.50
34.57,12.73,12.73,5.23,5.23,-5.23,-5.03,-6.39,7.50,7.50,7.50
34.92,12.71,12.71,5.21,5.22,-5.21,-5.02,-6.32,7.49,7.50,7.50
35.27,12.70,12.69,5.21,5.20,-5.20,-5.02,-6.24,7.49,7.49,7.49
35.62,12.68,12.68,5.19,5.19,-5.19,-5.01,-6.16,7.49,7.49,7.49
35.97,12.66,12.66,5.18,5.18,-5.18,-5.00,-6.08,7.48,7.48,7.48
36.33,12.64,12.64,5.16,5.16,-5.16,-5.00,-6.00,7.47,7.47,7.48
36.70,12.62,12.62,5.15,5.15,-5.15,-4.99,-5.91,7.46,7.47,7.47
37.06,12.61,12.60,5.14,5.14,-5.14,-4.99,-5.83,7.47,7.46,7.46
37.43,12.59,12.59,5.13,5.13,-5.12,-4.98,-5.74,7.46,7.46,7.46
37.81,12.57,12.57,5.11,5.11,-5.11,-4.97,-5.65,7.46,7.46,7.45
38.19,12.55,12.54,5.10,5.10,-5.10,-4.96,-5.57,7.45,7.45,7.45
38.57,12.52,12.52,5.08,5.08,-5.08,-4.96,-5.48,7.44,7.44,7.44
38.95,12.50,12.49,5.06,5.06,-5.06,-4.95,-5.40,7.43,7.43,7.43
39.34,12.47,12.47,5.04,5.04,-5.04,-4.94,-5.32,7.42,7.42,7.43
39.74,12.45,12.44,5.03,5.03,-5.03,-4.93,-5.24,7.42,7.42,7.42
40.14,12.42,12.42,5.01,5.01,-5.01,-4.92,-5.16,7.41,7.41,7.41
40.54,12.40,12.39,4.99,4.99,-4.99,-4.92,-5.09,7.41,7.41,7.40
40.94,12.37,12.36,4.97,4.97,-4.97,-4.91,-5.02,7.39,7.39,7.39
41.35,12.34,12.34,4.95,4.95,-4.95,-4.90,-4.95,7.38,7.38,7.39
41.76,12.31,12.31,4.93,4.93,-4.94,-4.89,-4.88,7.37,7.37,7.38
42.18,12.29,12.29,4.92,4.92,-4.92,-4.88,-4.82,7.37,7.37,7.37
42.60,12.27,12.26,4.91,4.90,-4.90,-4.86,-4.76,7.36,7.36,7.36
43.03,12.24,12.24,4.89,4.89,-4.88,-4.85,-4.71,7.35,7.35,7.35
43.46,12.21,12.21,4.87,4.87,-4.87,-4.84,-4.66,7.34,7.34,7.34
43.90,12.18,12.18,4.85,4.85,-4.85,-4.83,-4.61,7.33,7.33,7.33
44.33,12.15,12.15,4.83,4.83,-4.83,-4.82,-4.57,7.32,7.32,7.32
44.78,12.12,12.12,4.81,4.81,-4.81,-4.80,-4.52,7.31,7.31,7.31
45.23,12.09,12.09,4.79,4.79,-4.79,-4.79,-4.49,7.30,7.30,7.29
45.68,12.06,12.05,4.77,4.77,-4.77,-4.78,-4.45,7.29,7.29,7.28
46.13,12.02,12.02,4.75,4.75,-4.75,-4.76,-4.42,7.27,7.27,7.27
46.60,11.99,11.98,4.73,4.73,-4.72,-4.74,-4.39,7.26,7.26,7.26
47.06,11.95,11.95,4.70,4.70,-4.70,-4.73,-4.37,7.24,7.24,7.24
47.53,11.91,11.91,4.68,4.68,-4.68,-4.71,-4.35,7.22,7.23,7.23
48.01,11.88,11.87,4.66,4.66,-4.66,-4.69,-4.33,7.21,7.21,7.22
48.49,11.84,11.84,4.63,4.64,-4.64,-4.68,-4.32,7.19,7.20,7.20
48.97,11.81,11.81,4.62,4.62,-4.62,-4.66,-4.30,7.18,7.19,7.19
49.46,11.78,11.77,4.61,4.60,-4.60,-4.64,-4.30,7.18,7.17,7.17
49.96,11.74,11.74,4.58,4.58,-4.58,-4.62,-4.29,7.16,7.16,7.15
50.46,11.70,11.69,4.56,4.56,-4.55,-4.59,-4.28,7.14,7.14,7.14
50.96,11.65,11.65,4.53,4.53,-4.53,-4.57,-4.28,7.12,7.12,7.12
51.47,11.60,11.60,4.49,4.50,-4.50,-4.55,-4.28,7.10,7.10,7.10
51.99,11.55,11.55,4.46,4.46,-4.47,-4.52,-4.28,7.08,7.08,7.08
52.51,11.50,11.50,4.43,4.43,-4.43,-4.50,-4.28,7.06,7.06,7.06
53.03,11.45,11.45,4.40,4.40,-4.40,-4.47,-4.28,7.04,7.04,7.04
53.56,11.40,11.39,4.37,4.37,-4.37,-4.44,-4.29,7.03,7.02,7.02
54.10,11.34,11.34,4.33,4.34,-4.34,-4.41,-4.29,7.00,7.00,7.00
54.64,11.29,11.29,4.31,4.31,-4.31,-4.38,-4.30,6.97,6.97,6.98
55.18,11.24,11.24,4.28,4.28,-4.29,-4.35,-4.30,6.95,6.95,6.96
55.74,11.20,11.19,4.26,4.26,-4.26,-4.32,-4.30,6.94,6.93,6.93
56.29,11.15,11.15,4.24,4.24,-4.23,-4.29,-4.31,6.91,6.91,6.91
56.86,11.10,11.10,4.21,4.21,-4.21,-4.26,-4.31,6.89,6.89,6.88
57.42,11.05,11.05,4.19,4.19,-4.18,-4.22,-4.31,6.86,6.86,6.86
58.00,11.00,10.99,4.16,4.16,-4.16,-4.19,-4.30,6.84,6.83,6.83
58.58,10.94,10.94,4.13,4.13,-4.13,-4.15,-4.30,6.80,6.80,6.81
59.16,10.89,10.88,4.11,4.11,-4.11,-4.12,-4.29,6.78,6.78,6.78
59.76,10.83,10.83,4.08,4.08,-4.08,-4.08,-4.28,6.74,6.75,6.75
60.35,10.78,10.77,4.06,4.06,-4.05,-4.05,-4.27,6.72,6.72,6.72
60.96,10.72,10.72,4.03,4.03,-4.03,-4.01,-4.25,6.69,6.69,6.69
61.57,10.66,10.66,4.00,4.00,-4.00,-3.98,-4.23,6.66,6.66,6.66
62.18,10.60,10.60,3.97,3.97,-3.97,-3.95,-4.21,6.63,6.63,6.62
62.80,10.54,10.53,3.94,3.94,-3.94,-3.92,-4.18,6.59,6.59,6.59
63.43,10.47,10.47,3.91,3.91,-3.92,-3.89,-4.15,6.55,6.55,6.56
64.07,10.41,10.41,3.88,3.89,-3.89,-3.86,-4.11,6.52,6.52,6.52
64.71,10.35,10.35,3.86,3.86,-3.86,-3.84,-4.07,6.48,6.48,6.49
65.35,10.29,10.29,3.84,3.84,-3.84,-3.81,-4.03,6.45,6.45,6.45
66.01,10.23,10.22,3.82,3.81,-3.81,-3.79,-3.99,6.42,6.41,6.41
66.67,10.16,10.16,3.79,3.79,-3.78,-3.77,-3.94,6.37,6.37,6.37
67.33,10.09,10.09,3.75,3.76,-3.75,-3.75,-3.89,6.33,6.33,6.33
68.01,10.02,10.02,3.73,3.73,-3.73,-3.73,-3.83,6.29,6.29,6.29
68.69,9.95,9.94,3.70,3.70,-3.70,-3.71,-3.78,6.25,6.25,6.25
69.37,9.87,9.87,3.66,3.66,-3.66,-3.69,-3.72,6.20,6.20,6.21
70.07,9.80,9.79,3.64,3.63,-3.63,-3.67,-3.66,6.16,6.16,6.16
70.77,9.72,9.72,3.60,3.60,-3.60,-3.65,-3.59,6.11,6.11,6.12
71.48,9.65,9.64,3.58,3.57,-3.58,-3.63,-3.53,6.07,6.07,6.07
72.19,9.57,9.57,3.54,3.55,-3.55,-3.61,-3.47,6.02,6.02,6.02
72.91,9.50,9.49,3.52,3.52,-3.52,-3.59,-3.40,5.98,5.97,5.97
73.64,9.42,9.42,3.49,3.49,-3.49,-3.56,-3.34,5.92,5.92,5.93
74.38,9.35,9.34,3.47,3.47,-3.47,-3.54,-3.27,5.88,5.88,5.87
75.12,9.27,9.27,3.44,3.44,-3.44,-3.51,-3.20,5.82,5.82,5.82
75.87,9.19,9.19,3.41,3.42,-3.41,-3.48,-3.14,5.77,5.77,5.77
76.63,9.11,9.11,3.39,3.39,-3.39,-3.45,-3.07,5.72,5.72,5.72
77.40,9.03,9.02,3.36,3.36,-3.36,-3.42,-3.01,5.67,5.66,5.66
78.17,8.94,8.94,3.33,3.33,-3.33,-3.39,-2.94,5.61,5.61,5.61
78.95,8.86,8.85,3.30,3.30,-3.30,-3.36,-2.88,5.56,5.55,5.55
